symbol_nse,symbol_bse,company_name,isin,nse_series,bse_scrip_code,status
AIIL,AIIL,Authum Investment & Infrastructure Limited,INE206F01022,EQ,539177,active
,AIIL-RE,Authum Investment & Infrastructure Limited,INE206F20014,,750654,suspended
,AIKPIPES,AIK Pipes and Polymers Limited,INE0QFT01015,,544072,active
,AIMCOPEST,Aimco Pesticides Ltd.,INE008B01013,,524288,active
,AIML,Alliance Integrated Metaliks Limited,INE123D01024,,534064,active
,AIPCL,AIKYAM INTELLECTUAL PROPERTY CONSULTANCY LIMITED,INE739N01026,,506822,delisted
AIRAN,AIRAN,AIRAN LIMITED,INE645W01026,EQ,543811,active
,AIRFLOA,AIRFLOA RAIL TECHNOLOGY LIMITED,INE0XBS01012,,544516,active
,AIRLTD,AVISHKAR INFRA REALTY LIMITED,INE433O01024,,508929,suspended
,AIRTEL-RE,Bharti Airtel  Ltd.,INE397D20024,,750673,suspended
,AIRTELPP,Bharti Airtel  Ltd.,IN9397D01014,,890157,active
AJANTPHARM,AJANTPHARM,Ajanta Pharma Ltd.,INE031B01049,EQ,532331,active
,AJANTSOY,Ajanta Soya Limited,INE601B01023,,519216,active
AJAXENGG,AJAXENGG,AJAX Engineering Limited,INE274Y01021,EQ,544356,active
,AJBRO,A.J.Brothers Ltd.,INE939C01017,,511662,delisted
,AJCJEWEL,AJC Jewel Manufacturers Limited,INE0XRR01010,,544425,active
,AJCON,Ajcon Global Services Ltd.,INE759C01027,,511692,active
,AJEL,AJEL Limited,INE229B01015,,530713,suspended
,AJIL,Atlas Jewellery India Limited,INE022N01019,,514394,suspended
AJMERA,AJMERA,Ajmera Realty & Infra India Limited,INE298G01027,EQ,513349,active
,AJRINFRA,AJR INFRA AND TOLLING LIMITED,INE181G01025,,532959,suspended
,AJWAFUN,Ajwa Fun World & Resorts Ltd,INE863E01015,,526628,active
,AKARLAMIN,Akar Laminators Ltd.,INE984C01013,,500005,delisted
,AKCAPIT,A.K.Capital Services Ltd.,INE701G01012,,530499,active
AKI,AKI,AKI India Limited,INE642Z01026,EQ,542020,active
,AKSCRE,AKS Credits Ltd.,INE971C01010,,526985,delisted
,AKSH-RE,Akshar Spintex Limited,INE256Z20017,,750896,suspended
AKSHAR,AKSHAR,Akshar Spintex Limited,INE256Z01025,EQ,541303,active
AKSHARCHEM,AKSHARCHEM,AksharChem (India) Ltd.,INE542B01011,EQ,524598,active
AKSHOPTFBR,AKSHOPTFBR,Aksh Optifibre Ltd.,INE523B01011,EQ,532351,active
AKUMS,AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,EQ,544222,active
AKZOINDIA,AKZOINDIA,Akzo Nobel India Limited,INE133A01011,EQ,500710,active
,ALACRIEL,Alacrity Electronics Ltd.,INE023C01010,,517362,delisted
,ALACRIHS,Alacrity Housing Limited,INE781D01011,,523738,delisted
,ALAN-RE,ALAN SCOTT ENTERPRISES LIMITED,INE273F20014,,750795,suspended
,ALAN-RE1,ALAN SCOTT ENTERPRISES LIMITED,INE273F20022,,750980,suspended
,ALANGIND,Alang Industrial Gases Ltd.,INE848C01010,,531517,delisted
,ALANGMR-B,Alang Marine Ltd.,INE0D6901011,,520133,delisted
ALANKIT,ALANKIT,Alankit Limited,INE914E01040,EQ,531082,active
